Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC5/IC8,205,2.932019455,1.285671576,2.280535334,0.129692981,0.093347434,0.023449804,0.092251815
IC5/IC10,207,4.167103432,1.359949759,3.064159837,0.173089008,0.108512925,0.002431059,0.020511639
IC6/IC43,287,1.817761224,1.542746853,1.178262798,0.067424225,0.079086649,0.239853954,0.453658267
IC6/IC44,288,-0.374754589,1.35904014,-0.275749463,-0.015813339,0.074073779,0.782976796,0.845246152
IC6/IC48,292,0.962230016,1.499559002,0.641675329,0.036777706,0.075361381,0.521693834,0.739066265
IC7/IC43,333,2.164348105,1.622753623,1.333750283,0.076272991,0.080568229,0.183544819,0.421631716
IC7/IC48,338,3.896896585,1.475018898,2.641929937,0.14981497,0.09985156,0.008783122,0.042660879
IC11/IC41,505,0.62393297,1.708893311,0.365109376,0.020935869,0.074293678,0.715349972,0.831676917
IC12/IC48,553,-1.656207513,1.577623768,-1.049811461,-0.06010197,0.077997998,0.294856391,0.498432671
IC15/IC40,662,4.484133782,1.496462389,2.996489464,0.169377294,0.107050312,0.003016418,0.020511639
IC16/IC40,699,0.303305603,1.705408056,0.177849285,0.010199825,0.073903187,0.858990737,0.885020759
IC20/IC21,818,-1.995423832,1.504566324,-1.326245177,-0.075846273,0.080492618,0.186013992,0.421631716
IC20/IC48,845,-3.104528607,1.419137506,-2.187616488,-0.124492338,0.091815937,0.029658731,0.100839685
IC21/IC48,877,-4.927215014,1.427874971,-3.450732813,-0.194147287,0.117390451,0.000659965,0.01121941
IC22/IC28,888,-0.055281869,1.765823546,-0.031306564,-0.001795552,0.073785407,0.975050966,0.975050966
IC22/IC45,905,2.201590639,1.764439536,1.247756352,0.071381184,0.079726743,0.213331306,0.453329025
IC23/IC48,938,-5.21690936,1.44801774,-3.602793815,-0.202359405,0.12111774,0.000382346,0.01121941
IC25/IC33,980,0.92788045,1.595514472,0.581555646,0.033335965,0.075079626,0.56140957,0.763517015
IC25/IC48,995,-4.832257275,1.540485842,-3.136839783,-0.177067295,0.110114675,0.001920223,0.020511639
IC25/IC49,996,-1.829686226,1.598553004,-1.144589026,-0.065505687,0.078789372,0.253514914,0.453658267
IC26/IC27,1001,2.009615253,1.751428525,1.147414938,0.065666719,0.078813996,0.252347947,0.453658267
IC27/IC28,1028,-2.351743209,1.543284016,-1.52385639,-0.087067254,0.08262098,0.128855711,0.337007244
IC27/IC45,1045,-2.557516931,1.328427901,-1.925220729,-0.109751942,0.087810714,0.055378644,0.171170355
IC28/IC29,1054,1.324899831,1.586413578,0.835154117,0.047844519,0.07645449,0.404458092,0.597894571
IC28/IC33,1058,-3.067641837,1.354542823,-2.264706427,-0.128807785,0.093082409,0.024419598,0.092251815
IC28/IC38,1063,-3.554726786,1.217251378,-2.920289803,-0.165189113,0.105436897,0.003828635,0.0216956
IC28/IC40,1065,-1.439928462,1.409077282,-1.021894597,-0.058509268,0.077777689,0.307855473,0.498432671
IC33/IC40,1175,0.725400464,1.623812307,0.446726793,0.025613133,0.074547979,0.655473502,0.79593211
IC35/IC48,1220,-1.327995749,1.484317102,-0.894684665,-0.051246261,0.076847811,0.371848333,0.574674696
IC38/IC40,1260,-0.848131016,1.560304159,-0.543567747,-0.031160609,0.074915793,0.587241408,0.766350867
IC39/IC40,1274,0.612152046,1.798196164,0.340425621,0.019521028,0.074226817,0.733832574,0.831676917
IC40/IC45,1292,-2.078607803,1.256372017,-1.654452484,-0.09446503,0.08418324,0.09933737,0.281455881
IC48/IC52,1367,-0.931486517,1.816531317,-0.512783077,-0.029397415,0.074791103,0.608572747,0.766350867
IC51/IC53,1377,0.568233926,2.190326074,0.259428919,0.014877622,0.074040231,0.79552579,0.845246152
