Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC1/IC6,5,0.040826164,0.013109405,3.114265334,0.022937674,0.044461432,0.001846864,0.017379682
IC1/IC7,6,0.045780411,0.013951465,3.281405338,0.024168019,0.044516859,0.001034833,0.011407995
IC1/IC22,21,0.040825064,0.011974549,3.409319459,0.025109542,0.044561229,0.000652647,0.00914814
IC1/IC30,29,0.050778394,0.015237,3.332571517,0.02454464,0.044534404,0.000862168,0.010367846
IC1/IC32,31,-0.037681032,0.014205634,-2.652541314,-0.019538323,0.044323343,0.007995683,0.044011658
IC1/IC40,39,-0.042514577,0.014533065,-2.92536902,-0.021547052,0.044402271,0.003444677,0.026008934
IC1/IC42,41,-0.048390835,0.015743628,-3.07367741,-0.022638883,0.044448408,0.002117469,0.018864632
IC1/IC48,47,0.047549117,0.016435844,2.893013379,0.021308842,0.044392507,0.003820122,0.027320342
IC2/IC6,56,0.044571669,0.012525638,3.55843519,0.026207036,0.044615091,0.000374009,0.006285171
IC2/IC8,58,0.042611616,0.01114013,3.825055669,0.028169129,0.044717125,0.000131174,0.003057219
IC2/IC9,59,0.036985876,0.011903301,3.107194953,0.022885625,0.044459151,0.00189159,0.017494037
IC2/IC19,69,0.069699924,0.014896573,4.678923511,0.034450546,0.045093297,2.90435291209066e-06,0.000361664
IC2/IC21,71,0.065908758,0.01476133,4.464960586,0.032876898,0.044991972,8.05591638558707e-06,0.000498934
IC2/IC22,72,0.054669139,0.012011737,4.551309975,0.033512008,0.045032296,5.36537421752273e-06,0.000492899
IC2/IC23,73,0.047794395,0.015302417,3.123323212,0.023004353,0.044464362,0.001790984,0.017258576
IC2/IC25,75,0.069977044,0.015615911,4.481137566,0.032995884,0.044999468,7.46933886243794e-06,0.000498934
IC2/IC27,77,-0.04868921,0.014188685,-3.43155193,-0.025273179,0.044569114,0.000601456,0.008724275
IC2/IC32,82,-0.04594287,0.013618699,-3.373513806,-0.024845998,0.044548639,0.000743682,0.009667872
IC2/IC40,90,-0.041205733,0.01402247,-2.938550303,-0.021644094,0.044406279,0.003301601,0.025642823
IC2/IC46,96,-0.048101903,0.012578542,-3.824123817,-0.028162272,0.044716756,0.00013167,0.003057219
IC3/IC4,104,-0.067617464,0.021162729,-3.195120321,-0.023532874,0.044487884,0.001400081,0.014397849
IC3/IC6,106,0.03771432,0.012458609,3.027169364,0.022296504,0.044433695,0.002471968,0.02115759
IC3/IC7,107,0.056122494,0.013129944,4.274389261,0.031475083,0.0449057,1.9262541633103e-05,0.000856251
IC3/IC19,119,0.039496418,0.012899777,3.061790896,0.022551379,0.044444627,0.002203341,0.01933888
IC3/IC22,122,0.049711202,0.013694396,3.630039893,0.026734015,0.044641772,0.000284145,0.005151998
IC3/IC26,126,-0.057243742,0.015651014,-3.657510098,-0.026936177,0.044652149,0.000255387,0.004905827
IC3/IC30,130,0.038583521,0.014550719,2.651657306,0.019531814,0.0443231,0.008016637,0.044011658
IC3/IC35,135,-0.049331011,0.014471535,-3.40883052,-0.025105943,0.044561057,0.000653817,0.00914814
IC3/IC40,140,-0.045932585,0.014507663,-3.166091295,-0.023319184,0.044478309,0.001547541,0.015680227
IC3/IC41,141,-0.033783151,0.012997584,-2.599186899,-0.019145466,0.044308809,0.009351938,0.049186913
IC3/IC49,149,-0.046041999,0.016217163,-2.839090838,-0.020911845,0.044376478,0.00452918,0.030444924
IC4/IC7,156,0.038334669,0.012698525,3.018828462,0.0222351,0.04443108,0.002541014,0.021511802
IC4/IC8,157,0.031023135,0.010823705,2.866221283,0.02111159,0.044384505,0.004158744,0.028797733
IC4/IC27,176,0.043864177,0.015902922,2.758246329,0.020316619,0.044353008,0.00581697,0.035468073
IC4/IC40,189,-0.046408726,0.013517501,-3.433232746,-0.02528555,0.044569712,0.000597742,0.008724275
IC4/IC48,197,0.068917908,0.014234135,4.841734968,0.035647816,0.045173561,1.29754417945879e-06,0.000223502
IC5/IC6,203,0.036353124,0.011817991,3.076083318,0.022656595,0.044449176,0.002100466,0.018864632
IC5/IC7,204,0.031324155,0.011955464,2.620070255,0.019299234,0.044314463,0.008798377,0.047000276
IC5/IC8,205,0.033571952,0.00914612,3.670622137,0.027032672,0.044657129,0.000242644,0.004798675
IC5/IC19,216,0.031921795,0.011971548,2.66647179,0.019640894,0.044327187,0.007671899,0.043327363
IC5/IC22,219,0.053694158,0.012290918,4.368604498,0.03216814,0.044947883,1.25726178161551e-05,0.000641669
IC5/IC32,229,-0.032137644,0.012066977,-2.663272167,-0.019617335,0.044326302,0.00774521,0.043562852
