Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC1/IC6,5,0.552203381538296,1.37175316042296,0.402553023000167,0.0230818481624658,0.0744040132416075,0.687633906289099,0.953227954749967
IC1/IC7,6,-3.09000788555381,1.4869103841987,-2.07813995946973,-0.118351804603842,0.0900870750090981,0.0387551322568046,0.348028696295113
IC1/IC22,21,0.619358564046678,1.71816150976178,0.360477499075481,0.0206703852187324,0.074280776059128,0.718805820666095,0.97578821251045
IC1/IC30,29,-0.420089449212892,1.60239138391506,-0.262164071418372,-0.0150344412709919,0.0740457103101776,0.793418896700626,0.979146922873186
IC1/IC32,31,-0.305316887945069,1.67943448774273,-0.18179743846718,-0.0104262314456942,0.0739086429513616,0.855894509016437,0.979146922873186
IC1/IC40,39,-0.824717177775978,1.64647499842027,-0.5008986948282,-0.028716662538361,0.074744902032584,0.616899586344211,0.913150800125329
IC1/IC42,41,-2.54072338784552,1.318527142581,-1.92694052764974,-0.109848800345265,0.0878354087338439,0.0551627618101152,0.37943529372426
IC1/IC48,47,1.94778105309155,1.6703570506505,1.16608664736262,0.0667305832753145,0.0789781833739931,0.244732096778379,0.720447296134105
IC2/IC6,56,3.4851016037429,1.35279681310795,2.57621955490576,0.146169360078419,0.0986051829582422,0.0105853977935943,0.258976110086898
IC2/IC8,58,2.80160301217619,1.46933000456891,1.90672143321416,0.108709866471986,0.0875463879378736,0.0577459418124978,0.37943529372426
IC2/IC9,59,3.29552591718772,1.59474449291502,2.06649148614638,0.117697629636601,0.0899079692112115,0.039850614079593,0.348028696295113
IC2/IC19,69,3.49831014012545,1.39564649515643,2.50658755800003,0.142299672932355,0.0973150534525979,0.0128499596608003,0.258976110086898
IC2/IC21,71,3.28184609824047,1.49847436688575,2.19012495025928,0.124632872481659,0.0918565118445379,0.0294740409661382,0.303501981339519
IC2/IC22,72,2.22931437216544,1.41277964536812,1.57796325808797,0.0901340228298523,0.0832533001373096,0.115885706269058,0.535254405043172
IC2/IC23,73,3.99027402399241,1.61207382499554,2.47524273524101,0.14055559143616,0.0967446645657969,0.0140032854880426,0.26206148556194
