Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC5/IC8,205,10.36724748,5.20619167,1.991330349,0.113472952,0.109524407,0.047627672,0.153295714
IC5/IC10,207,18.44364526,5.48459232,3.362810613,0.189380201,0.136621878,0.000903579,0.013341319
IC6/IC43,287,4.452386923,6.238362018,0.713710893,0.040899875,0.09617356,0.47612957,0.682751095
IC6/IC44,288,1.440362435,5.370129149,0.268217466,0.015381507,0.094455087,0.788772333,0.889550765
IC6/IC48,292,4.221859166,5.994178541,0.704326562,0.040362979,0.096121379,0.481941949,0.682751095
IC7/IC43,333,10.45673566,6.483141682,1.612911791,0.092113544,0.104302899,0.108134888,0.245105746
IC7/IC48,338,18.6907417,5.843721947,3.198431047,0.180431848,0.132745664,0.001576211,0.013341319
IC11/IC41,505,5.423565956,6.954309184,0.779885653,0.044684831,0.096560938,0.436259983,0.674219974
IC12/IC48,553,-6.42400483,6.375952707,-1.007536462,-0.057689939,0.098152248,0.314735832,0.535050914
IC15/IC40,662,20.26409775,5.937394557,3.412961284,0.192101002,0.137835974,0.000759222,0.013341319
IC16/IC40,699,3.484605653,6.876090033,0.506771383,0.029053063,0.095182163,0.612800721,0.771674982
IC20/IC21,818,-6.709953371,6.07577965,-1.10437734,-0.063213705,0.098949955,0.270583501,0.484202054
IC20/IC48,845,-13.01017559,5.6725786,-2.29352055,-0.130418918,0.114425462,0.022720968,0.11035899
IC21/IC48,877,-18.61437083,5.759476354,-3.231955423,-0.182260537,0.133523213,0.001409605,0.013341319
IC22/IC28,888,10.45257079,7.024763021,1.487960628,0.085031316,0.102808395,0.138131006,0.293528387
IC22/IC45,905,13.95572426,6.952615605,2.007262454,0.11436899,0.109766807,0.045891905,0.153295714
IC23/IC48,938,-17.98921826,5.848829905,-3.075695234,-0.173720993,0.12995673,0.00235435,0.013341319
IC25/IC33,980,8.51758153,6.323918572,1.346883492,0.077019604,0.101260537,0.179343363,0.338759685
IC25/IC48,995,-11.30742383,6.257127716,-1.807126903,-0.103093576,0.106853393,0.072049205,0.188436382
IC25/IC49,996,-10.84902881,6.369709938,-1.703221797,-0.097223685,0.105454648,0.089877367,0.218273606
IC26/IC27,1001,9.706915894,6.974389882,1.391794273,0.079571763,0.101737138,0.165329173,0.330658345
IC27/IC28,1028,-0.675174178,6.317899696,-0.106866872,-0.00612912,0.094216823,0.91498775,0.942714652
IC27/IC45,1045,-10.47589299,5.307339128,-1.973850311,-0.112489537,0.109260528,0.049595672,0.153295714
IC28/IC29,1054,-0.997090398,6.293728318,-0.158426031,-0.009085981,0.094270684,0.874260115,0.928901372
IC28/IC33,1058,-11.31822974,5.454930443,-2.07486234,-0.11816775,0.110815273,0.03911165,0.153295714
IC28/IC38,1063,-15.27635754,4.91864372,-3.105806888,-0.175369695,0.130632501,0.002136044,0.013341319
IC28/IC40,1065,-3.128300825,5.682603777,-0.55050483,-0.031557891,0.095363825,0.582507436,0.761740493
IC33/IC40,1175,5.829782354,6.548243247,0.890281887,0.050994734,0.097282696,0.374244835,0.605920209
IC35/IC48,1220,-0.218059264,6.063063165,-0.035965197,-0.002062741,0.094176941,0.971341304,0.971341304
IC38/IC40,1260,-1.518170246,6.343354838,-0.239332386,-0.013725361,0.094397381,0.811060992,0.889550765
IC39/IC40,1274,2.408774615,7.264220652,0.331594362,0.019014803,0.094604684,0.740497524,0.886726816
IC40/IC45,1292,-9.124920055,4.950351689,-1.843287231,-0.105133882,0.10735852,0.06657374,0.188436382
IC48/IC52,1367,-4.639676297,7.233254922,-0.641436856,-0.036764056,0.095789366,0.521877581,0.70975351
IC51/IC53,1377,2.70509966,8.707048829,0.31067928,0.017815851,0.094551826,0.756325813,0.886726816
