Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC1/IC6,5,2.061495815,3.042181795,0.677637286,0.038835844,0.028848188,0.498608918,0.913535221
IC1/IC7,6,-4.078792977,3.362296717,-1.213097273,-0.069408107,0.032637452,0.226202132,0.673465437
IC1/IC22,21,0.527120424,3.836325025,0.137402441,0.007880326,0.027190904,0.890819869,0.971186178
IC1/IC30,29,1.109794511,3.52315654,0.315000057,0.018063545,0.027493736,0.753016225,0.943972492
IC1/IC32,31,-1.463676646,3.716892157,-0.393790453,-0.022579673,0.027704116,0.694061007,0.941249491
IC1/IC40,39,-2.99817944,3.755604883,-0.798321318,-0.045738948,0.029517024,0.425418268,0.844390805
IC1/IC42,41,-1.80264347,2.956928058,-0.609633861,-0.034943546,0.028519152,0.542640888,0.920363327
IC1/IC48,47,3.339132957,3.741313733,0.892502793,0.051121614,0.030114188,0.372955171,0.821128191
IC2/IC6,56,5.388711632,2.994211254,1.799709898,0.102674918,0.039181916,0.073074719,0.402214613
IC2/IC8,58,5.243486953,3.298188561,1.589808119,0.090805049,0.03655805,0.113102664,0.436943961
IC2/IC9,59,9.915061962,3.496219194,2.835938312,0.160542445,0.05653018,0.00493135,0.26685986
IC2/IC19,69,6.759924035,3.111663727,2.172446841,0.12364231,0.044596656,0.030732613,0.334565203
IC2/IC21,71,4.605132854,3.374742317,1.364587996,0.078025887,0.03409111,0.173571559,0.535399766
IC2/IC22,72,0.132246381,3.091462735,0.042777931,0.002453475,0.027126618,0.965911644,0.982037901
IC2/IC23,73,5.005406914,3.604856127,1.388517804,0.079385622,0.034335929,0.166177029,0.530955873
IC2/IC25,75,1.849400355,3.122348979,0.592310587,0.033951757,0.028440856,0.55416136,0.921749917
IC2/IC27,77,-0.356957155,3.248143285,-0.109895754,-0.006302829,0.027165256,0.912577482,0.971186178
IC2/IC32,82,-1.821024454,3.824271438,-0.476175524,-0.02730036,0.027973982,0.63435232,0.941249491
IC2/IC40,90,-7.35433894,3.577430549,-2.055760088,-0.117094822,0.042799075,0.040811978,0.337857132
IC2/IC46,96,0.153849021,3.330419887,0.046195082,0.00264946,0.027127764,0.963190498,0.982037901
IC3/IC4,104,0.837862495,3.752157883,0.223301503,0.012806169,0.027307709,0.823477558,0.971186178
IC3/IC6,106,0.305092011,2.845829746,0.107206698,0.00614861,0.027163055,0.914708319,0.971186178
IC3/IC7,107,-0.550513579,3.601023423,-0.152876978,-0.008767759,0.027207839,0.878614785,0.971186178
IC3/IC19,119,1.481702478,2.826355166,0.524244969,0.030053929,0.028154969,0.600558259,0.936584904
IC3/IC22,122,-3.913872199,3.535982301,-1.10686985,-0.063355802,0.031717785,0.269381141,0.708408051
IC3/IC26,126,4.33628422,4.410923555,0.983078525,0.056294009,0.030750434,0.326489779,0.770633532
IC3/IC30,130,1.294478697,3.566039227,0.363001811,0.020815071,0.02761635,0.716900752,0.941249491
IC3/IC35,135,1.155232404,4.332913299,0.266617937,0.0152898,0.027387695,0.789976312,0.958212008
IC3/IC40,140,-5.084243625,3.324791116,-1.529191894,-0.087369781,0.035858382,0.127441983,0.457394514
IC3/IC41,141,-8.155653082,3.362699516,-2.425329127,-0.137775613,0.048806276,0.015981316,0.334565203
IC3/IC49,149,9.628706839,4.877670747,1.974037884,0.112500092,0.041595436,0.049444112,0.350117769
IC4/IC7,156,-1.030443463,2.979994276,-0.345787061,-0.019828349,0.027570384,0.729784538,0.941249491
IC4/IC8,157,1.083175538,3.227709591,0.33558643,0.019243638,0.027544199,0.737455484,0.941249491
IC4/IC27,176,-3.826545423,3.883034187,-0.985452417,-0.056429513,0.030767924,0.325325136,0.770633532
IC4/IC40,189,-7.800129437,3.627554914,-2.150244344,-0.122397707,0.044247508,0.032465402,0.334565203
IC4/IC48,197,6.814623642,4.148789268,1.64255719,0.093791835,0.037188169,0.10169279,0.436943961
IC5/IC6,203,5.582614759,2.482900586,2.248424601,0.127896939,0.045816583,0.025393583,0.334565203
IC5/IC7,204,6.012980083,2.887790818,2.082207633,0.118580208,0.043198392,0.038308993,0.334565203
IC5/IC8,205,4.868270693,2.836914874,1.716043981,0.097948608,0.038098838,0.087354381,0.436943961
IC5/IC19,216,3.656392089,2.46137713,1.485506648,0.084892092,0.035370404,0.138630517,0.477910466
IC5/IC22,219,-2.150930688,3.087785012,-0.696593409,-0.039920524,0.02894606,0.4866844,0.900590233
IC5/IC32,229,-3.055796375,3.655402079,-0.835967237,-0.047890994,0.029747827,0.403946876,0.838287682
