Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC1/IC14,13,11.4247050495811,6.82910560361523,1.67294309280165,0.0955112179806675,0.105061837531634,0.0956980804944044,0.423552615521531
IC1/IC28,27,1.73917052968664,6.18875179666856,0.281021211841595,0.0161155787756206,0.0944827652228117,0.778946769940182,0.948969400434947
IC1/IC35,34,10.6611441128333,7.47564115208905,1.42611769290907,0.0815212184472488,0.102111567977244,0.15519025044624,0.526334554358578
IC1/IC45,44,-1.50688825607873,6.32125084258126,-0.238384505472875,-0.0136710113550662,0.094395598248925,0.811795133546155,0.948969400434947
IC1/IC49,48,15.177169414574,6.56565911339492,2.31159875230352,0.131429229471904,0.114738731842716,0.0216846321190783,0.246791765545701
IC2/IC28,78,1.56173498896233,7.24423449998819,0.215583163267958,0.0123635973537511,0.0943548500632787,0.829503736140026,0.948969400434947
IC2/IC35,85,6.60386307056936,7.22810926002236,0.913636309718557,0.0523288424052729,0.0974474501253366,0.36186472474123,0.793446506542696
IC3/IC4,104,-2.15713659835678,7.12804184480172,-0.302626814674204,-0.0173542243258434,0.0945323916944273,0.762447788017435,0.944171095006046
IC4/IC14,163,8.11420910158625,6.37387936575785,1.27304089644023,0.072820057923755,0.100509861620525,0.204288764300785,0.581250174617711
IC4/IC27,176,-11.1222829124131,6.89737033945002,-1.61253961510496,-0.0920924689441017,0.104298276217726,0.108215829276508,0.453747073633076
IC4/IC30,179,0.158426351069888,6.35818735937252,0.0249169051044641,0.00142908105829212,0.0941742914938738,0.980142847565739,0.993362383027173
IC4/IC49,198,15.16861211559,7.7638733060739,1.9537428700341,0.111357898641412,0.108959672501983,0.0519439532184983,0.322572238529241
IC5/IC8,205,10.3672474763109,5.20619166999553,1.99133034921856,0.113472951715104,0.109524406584294,0.0476276724169356,0.316194825212433
IC5/IC10,207,18.4436452630563,5.48459232019797,3.3628106131306,0.18938020112183,0.136621878353267,0.000903578501511234,0.0520210624056858
IC5/IC11,208,12.1568259052697,5.49517506586215,2.2122727228095,0.125873359186374,0.113045280999945,0.0279312043938182,0.258822627120378
IC5/IC40,237,-12.3800371732432,5.73750171743234,-2.15774003790339,-0.122817957158955,0.11214451981525,0.0319840388411023,0.283117973445313
IC6/IC9,253,-1.18620143619688,5.93522794416518,-0.199857772499371,-0.0114618764129507,0.0943291303840295,0.841768406349503,0.948969400434947
IC6/IC10,254,0.0809019962426852,5.97356659041533,0.0135433321146019,0.000776763134696654,0.0941725687316598,0.989206055064716,0.993362383027173
IC6/IC11,255,-4.83625881997049,5.86196844991914,-0.825023004011085,-0.0472654298776414,0.0968446480537504,0.410213374435881,0.814467415718897
IC6/IC12,256,3.16344907791008,5.68526672139966,0.556429316852045,0.0318971710638796,0.0953895840579871,0.57845836111175,0.891945472940052
IC6/IC13,257,-4.53212034324372,5.87383532331113,-0.771577699030372,-0.0442097485621514,0.0965104392977409,0.441156580135463,0.814467415718897
IC6/IC16,260,-2.82380296268123,5.42747429225339,-0.520279380542002,-0.0298267925997142,0.095236676596565,0.60336930310411,0.90208511638475
IC6/IC26,270,-5.29305206859906,7.0382711649276,-0.752038667531718,-0.0430923098225999,0.0963937832226123,0.452796711943282,0.814467415718897
IC6/IC27,271,0.629973902037687,5.7722799771339,0.1091377938238,0.00625935914265065,0.0942187542292778,0.913188356489801,0.977888733151617
IC7/IC9,299,17.7979417148257,6.1045545209905,2.91551851222354,0.164926567359117,0.126455939073856,0.00390199479859286,0.0847797051694267
IC7/IC11,301,8.95060827298928,6.0592367848501,1.47718410598649,0.0844198831458292,0.102684919841932,0.140994233172367,0.500011610922946
IC7/IC16,306,5.92807014919149,7.03029529705213,0.843217802199174,0.0483054007092232,0.096963470943623,0.399982707369363,0.814467415718897
IC7/IC25,315,-7.4929301151835,6.12155646288684,-1.22402368753942,-0.0700302167326037,0.100034277793392,0.22219565347463,0.610399553798121
IC7/IC26,316,-5.8005380584798,7.86026934329228,-0.737956653283111,-0.0422868577912185,0.0963115449503832,0.461293046850428,0.814467415718897
IC7/IC29,319,-5.64546292375507,5.81619823619615,-0.970644860180568,-0.0555842345234174,0.097867262268753,0.332744799072051,0.764673144021347
IC7/IC43,333,10.4567356635958,6.48314168231362,1.61291179122653,0.0921135436724325,0.104302898856281,0.108134888131419,0.453747073633076
IC7/IC48,338,18.6907417013312,5.84372194661959,3.19843104652561,0.180431847711861,0.132745664467578,0.0015762105301175,0.0538163309568691
IC7/IC50,340,-0.59032544733867,6.31899496157272,-0.0934207814579022,-0.00535797237459382,0.0942062170557291,0.925650608665871,0.978895997659926
IC9/IC43,422,-9.98004259390946,5.87917328233387,-1.69752482443376,-0.0969015482079454,0.105380228353414,0.0909500784801908,0.423552615521531
IC10/IC28,450,-0.142678927781098,6.88640415715391,-0.0207189303045591,-0.00118831131120992,0.0941735369893848,0.983487830913809,0.993362383027173
IC10/IC31,453,8.72567056945764,6.60519125082061,1.32103223632981,0.075549856572066,0.100993066029166,0.187803383372898,0.54078323645931
IC11/IC31,495,5.54646038429456,6.31890095186804,0.877757133169633,0.0502791507958732,0.0971960730126311,0.380991500358814,0.814467415718897
IC12/IC14,519,-5.57252837342399,6.91747364880473,-0.80557276490484,-0.0461535311522081,0.0967204593087382,0.42132127868606,0.814467415718897
