Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC30/IC48,1120,-0.164490764,0.04327841,-3.800758069,-0.03892241,0.034822771,0.000145154,0.002247441
IC30/IC49,1121,0.176418431,0.041392659,4.262070467,0.04363806,0.035199346,2.04494175172603e-05,0.000519081
IC31/IC34,1128,0.167319226,0.043360274,3.858813815,0.03951602,0.034867808,0.000114691,0.00183773
IC31/IC38,1132,0.163261185,0.04865443,3.355525571,0.034368662,0.034499952,0.000795242,0.009286815
IC31/IC43,1137,-0.225156143,0.047614671,-4.728713645,-0.048405236,0.035623763,2.29194408170193e-06,0.000100238
IC31/IC46,1140,-0.240864603,0.046067422,-5.228523636,-0.053507566,0.036126725,1.74497354877982e-07,1.41445502954035e-05
IC31/IC48,1142,-0.169515722,0.041753147,-4.059950842,-0.041572284,0.035029086,4.94762147719174e-05,0.000921327
IC32/IC33,1148,0.118154816,0.04323817,2.732650709,0.027994492,0.034115457,0.006294292,0.039246764
IC32/IC34,1149,-0.134381999,0.046839434,-2.868992789,-0.029390064,0.034192918,0.004126876,0.03091415
IC32/IC51,1166,-0.128191297,0.037818162,-3.389675442,-0.034718019,0.034523297,0.000702597,0.008492794
IC32/IC53,1168,-0.148505999,0.041217502,-3.602983941,-0.036899899,0.034674441,0.00031619,0.0043571
IC33/IC38,1173,-0.569994599,0.0688582,-8.277802769,-0.084531114,0.040268907,1.42365445563981e-16,1.96179583987166e-13
IC33/IC41,1176,0.120740691,0.041598782,2.902505408,0.029733066,0.034212533,0.003710407,0.028724388
IC33/IC43,1178,0.195238614,0.045108923,4.328159512,0.044313408,0.035256799,1.51898038251835e-05,0.000423912
IC33/IC44,1179,0.166491949,0.054375579,3.061888273,0.031364209,0.034308928,0.002205593,0.01973576
IC33/IC45,1180,0.214484363,0.056401303,3.802826365,0.038943559,0.034824363,0.000143949,0.002247441
IC33/IC52,1187,0.162501655,0.05147991,3.156603291,0.032333416,0.034368642,0.001601165,0.01587342
IC33/IC53,1188,-0.152112977,0.049539157,-3.070560443,-0.031452954,0.03431432,0.002142599,0.019712017
IC34/IC36,1190,-0.252619003,0.043815088,-5.765571114,-0.058985358,0.036722756,8.39180004305697e-09,1.05126367812114e-06
IC34/IC38,1192,0.205720601,0.046172227,4.455505282,0.04561455,0.035369976,8.46523259677925e-06,0.000265116
