Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC5/IC8,205,0.093707513,0.02658051,3.52542188,0.03184541,0.024114765,0.000424355,0.025424372
IC5/IC10,207,0.093409013,0.025128562,3.717244629,0.033576257,0.024225435,0.000202306,0.015487613
IC6/IC43,287,-0.141904987,0.042962467,-3.302999043,-0.029838096,0.02399375,0.000959311,0.043412705
IC6/IC44,288,-0.147095366,0.044722874,-3.289041003,-0.029712116,0.023986418,0.001008132,0.043412705
IC6/IC48,292,-0.133276766,0.034850491,-3.824243623,-0.034541595,0.024289703,0.000131825,0.012110335
IC7/IC43,333,-0.163284451,0.04588795,-3.558329611,-0.032142362,0.024133336,0.000374633,0.023465675
IC7/IC48,338,-0.133703374,0.0339313,-3.940414177,-0.035589569,0.024361534,8.1793078884656e-05,0.009545377
IC11/IC41,505,0.133941815,0.039728948,3.371390972,0.030455357,0.024030124,0.000750211,0.035647963
IC12/IC48,553,-0.130994879,0.037481989,-3.494875382,-0.031569757,0.02409768,0.000475962,0.026463035
IC15/IC40,662,0.163157701,0.036739117,4.440980426,0.04010379,0.024695493,9.03350284871816e-06,0.002489633
IC16/IC40,699,0.133218821,0.035409457,3.762238459,0.0339822,0.024252239,0.000169185,0.014571068
IC20/IC21,818,0.179857796,0.055328095,3.250749857,0.029366506,0.023966462,0.001154123,0.048193386
IC20/IC48,845,-0.130237455,0.037532934,-3.469951361,-0.031344837,0.02408385,0.000522346,0.026769334
IC21/IC48,877,-0.164043142,0.036559689,-4.486994967,-0.04051864,0.024728181,7.28936192290643e-06,0.002489633
IC22/IC28,888,0.178637995,0.041812966,4.272311015,0.038582951,0.024578533,1.94919878920777e-05,0.004445945
IC22/IC45,905,0.145900088,0.037416786,3.899321818,0.035218888,0.024335881,9.69777005990448e-05,0.009545377
IC23/IC48,938,-0.129574232,0.037100048,-3.492562411,-0.031548885,0.024096392,0.000480099,0.026463035
IC25/IC33,980,0.165258331,0.04785137,3.453575785,0.031197057,0.024074816,0.00055508,0.027317846
IC25/IC48,995,-0.140785409,0.03899747,-3.610116443,-0.032609658,0.024162909,0.000307282,0.020163581
IC25/IC49,996,-0.139000919,0.042202875,-3.293636217,-0.029753591,0.023988829,0.000991811,0.043412705
IC26/IC27,1001,-0.186705575,0.038537074,-4.844830114,-0.043744022,0.024993806,1.28273525248025e-06,0.000883805
IC27/IC28,1028,-0.136672773,0.037777442,-3.617840837,-0.032679357,0.024167356,0.000298267,0.020163581
IC27/IC45,1045,-0.146923564,0.036311031,-4.046251486,-0.036544225,0.024428838,5.23641344205458e-05,0.009019722
IC28/IC29,1054,-0.148875832,0.039868392,-3.734182037,-0.033729071,0.024235487,0.000189181,0.015334752
IC28/IC33,1058,-0.228994784,0.058706218,-3.900690444,-0.035231235,0.024336731,9.6431719350168e-05,0.009545377
IC28/IC38,1063,-0.227180476,0.057526039,-3.949176376,-0.035668608,0.024367039,7.88600383552646e-05,0.009545377
IC28/IC40,1065,-0.189527791,0.038620716,-4.907412689,-0.044307978,0.025042339,9.34746667432588e-07,0.000883805
IC33/IC40,1175,0.17994686,0.042447135,4.239316948,0.038285422,0.02455618,2.25846262990813e-05,0.004445945
IC35/IC48,1220,0.119473313,0.034441856,3.468840779,0.031334814,0.024083236,0.000524508,0.026769334
IC38/IC40,1260,0.165486209,0.042042307,3.936182882,0.035551401,0.02435888,8.32460956944474e-05,0.009545377
IC39/IC40,1274,-0.128258393,0.034647751,-3.701781233,-0.033436739,0.024216297,0.000215031,0.015595408
IC40/IC45,1292,-0.171418841,0.038465718,-4.456405618,-0.04024286,0.024706413,8.40857448643012e-06,0.002489633
IC48/IC52,1367,0.133559738,0.041221757,3.240030216,0.029269751,0.023960917,0.001198363,0.048568944
IC51/IC53,1377,-0.237128114,0.059160189,-4.008237943,-0.036201353,0.02440446,6.15361482387908e-05,0.009421868
