Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC6/IC13,257,0.140878677,0.035092398,4.014507024,0.034863817,0.097726238,5.98985521998971e-05,0.009171134
IC6/IC27,271,-0.117642314,0.034795046,-3.381007547,-0.029367406,0.097407166,0.000724294,0.038387573
IC6/IC29,273,-0.195016837,0.037305723,-5.227531373,-0.045379095,0.098488827,1.744021243221e-07,0.000240326
IC6/IC30,274,-0.151249101,0.035233379,-4.29277873,-0.037277206,0.09788359,1.77706352956544e-05,0.004897587
IC7/IC27,317,-0.133536596,0.040309928,-3.312747087,-0.028774992,0.097376036,0.000926321,0.046969081
IC15/IC25,647,-0.240458783,0.049490642,-4.858671698,-0.042183016,0.098235899,1.19529538507678e-06,0.000549039
IC17/IC48,743,0.124614024,0.036312497,3.431711764,0.029807434,0.0974307,0.000601618,0.033161166
IC20/IC25,822,-0.12326704,0.03282176,-3.755649867,-0.032618257,0.097589284,0.000173633,0.014074489
IC21/IC25,854,-0.148705648,0.033456447,-4.444753124,-0.038594974,0.097973952,8.87081566478043e-06,0.003055996
IC21/IC28,857,0.14921577,0.04037108,3.696105465,0.032101644,0.097559066,0.000219815,0.015942396
IC22/IC48,908,0.137568304,0.035464669,3.879024038,0.033688579,0.097653425,0.000105384,0.013390057
IC23/IC25,915,-0.129932489,0.036000997,-3.609135887,-0.031347042,0.097515794,0.000308352,0.020233774
IC23/IC28,918,0.13661671,0.041344069,3.304384702,0.028702416,0.097372266,0.000954379,0.046969081
IC25/IC45,992,0.169085352,0.044328786,3.814346554,0.033127489,0.097619542,0.000137164,0.013390057
IC25/IC49,996,0.14437142,0.039042165,3.697833354,0.032116636,0.097559936,0.000218326,0.015942396
IC26/IC32,1006,-0.145865222,0.041946604,-3.477402389,-0.030203938,0.097452205,0.000507923,0.030817927
IC27/IC31,1031,0.146889765,0.036040505,4.075685555,0.035394459,0.097759933,4.6146843319456e-05,0.008998764
IC27/IC45,1045,-0.122945271,0.033561825,-3.663247516,-0.031816554,0.097542597,0.000250009,0.017225639
IC28/IC36,1061,-0.144109622,0.03561174,-4.046688526,-0.035142952,0.097743899,5.22424639802698e-05,0.008998764
IC28/IC41,1066,-0.131159653,0.031954441,-4.104582974,-0.035645095,0.097776025,4.07474110516949e-05,0.008998764
IC28/IC45,1070,-0.200165068,0.051979184,-3.850869724,-0.033444339,0.097638606,0.000118253,0.013390057
IC32/IC35,1150,-0.116105071,0.03342103,-3.474012367,-0.03017452,0.097450599,0.000514378,0.030817927
IC33/IC41,1176,0.132902173,0.03449773,3.852490381,0.033458398,0.097639456,0.000117474,0.013390057
IC34/IC45,1199,-0.176753783,0.036250368,-4.875916952,-0.042332472,0.098247315,1.09561851680619e-06,0.000549039
IC38/IC41,1261,0.134797084,0.035890479,3.755789542,0.032619469,0.097589355,0.000173536,0.014074489
IC41/IC49,1308,-0.123233385,0.032213778,-3.825486833,-0.033224136,0.097625338,0.000131113,0.013390057
IC41/IC51,1310,-0.125223463,0.036280116,-3.451572864,-0.029979791,0.097440013,0.00055907,0.032099909
IC42/IC45,1315,0.15133778,0.03983308,3.799298998,0.032996944,0.097611741,0.000145755,0.013390057
