Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC1/IC14,13,3.06233276733703,1.67873939520837,1.82418591955241,0.104056275869178,0.0863963994511636,0.0693622505385627,0.458009367102568
IC1/IC28,27,0.362641922393066,1.53584365528149,0.236119035388794,0.0135411138141257,0.0739958593904959,0.813540849254319,0.995249161054356
IC1/IC35,34,3.12307930749276,1.85765411003925,1.68119527236789,0.095978019797755,0.0845182941927638,0.0940204300319267,0.510701881309784
IC1/IC45,44,-0.670125674451345,1.5862014629362,-0.422471981088002,-0.024223320016768,0.0744670823415563,0.673057221167342,0.903711662129184
IC1/IC49,48,2.87468051486084,1.61072750892788,1.78470939307062,0.101828037593221,0.0858633693893173,0.0755662634791752,0.458009367102568
IC2/IC28,78,0.0557197057399326,1.79795585075313,0.0309905861796287,0.00177742921018725,0.0737853315265229,0.975302696451232,0.997174844899382
IC2/IC35,85,-0.507618648831246,1.79416424628349,-0.282927636019249,-0.0162248768186213,0.0740891813238305,0.777475170778764,0.991783870886256
IC3/IC4,104,-1.09592849986662,1.74483901514031,-0.628097200003573,-0.036000493360222,0.0752953401175633,0.530535006990285,0.828744226605739
IC4/IC14,163,1.11505934587401,1.56655778652413,0.711789475923578,0.040789950273362,0.075724705878489,0.477283584409549,0.81375764314538
IC4/IC27,176,-3.18068258930177,1.71996133428114,-1.84927563539163,-0.105471644018168,0.086740902146044,0.0656425345610187,0.458009367102568
IC4/IC30,179,0.059931857087282,1.57425182580996,0.0380700572200048,0.00218346232405006,0.0737872105120286,0.969663341092902,0.997174844899382
IC4/IC49,198,2.99966236889063,1.89929213759852,1.57935807215178,0.09021304716051,0.0832698805573697,0.115565534404727,0.511484494865368
IC5/IC8,205,2.93201945522737,1.28567157550609,2.28053533350708,0.129692980759678,0.0933474338353378,0.02344980374236,0.348586399032063
IC5/IC10,207,4.16710343234992,1.35994975910448,3.0641598371207,0.17308900812083,0.108512924529421,0.00243105873538513,0.0968371729595078
IC5/IC11,208,3.12600534631587,1.36205510105583,2.29506526123111,0.130505261363196,0.0935921967773098,0.0225893768165273,0.348586399032063
IC5/IC40,237,-1.21360217095881,1.45133309820915,-0.836198232133143,-0.0479041974218351,0.0764611580349186,0.403871706410601,0.772202702657068
IC6/IC9,253,-1.02266044801572,1.44592953336573,-0.707268524791274,-0.0405312987109208,0.0757001523587261,0.480082961018823,0.81375764314538
IC6/IC10,254,-0.130468063837059,1.48037328615444,-0.0881318685343039,-0.00505464475140282,0.0738114907128969,0.929845055839766,0.997174844899382
IC6/IC11,255,-1.48960024518169,1.43424721355032,-1.03859378711592,-0.0594620384066016,0.0779087717687929,0.300034580003904,0.714550827095539
IC6/IC12,256,1.09064527606355,1.40007608792013,0.778990003096006,0.0446336156286063,0.0761079524085819,0.436749828677255,0.792203689562878
IC6/IC13,257,-1.71636997770265,1.45253248760502,-1.18163964823441,-0.0676165781608094,0.0791169246363258,0.238513383820966,0.686803599195312
IC6/IC16,260,-0.398390835774275,1.32215565726166,-0.301319162827915,-0.0172792590812397,0.0741304483011003,0.76343095057941,0.98096772681978
IC6/IC26,270,-1.27805040158511,1.71895441676815,-0.743504533405837,-0.0426041910272039,0.0759013119031111,0.457900488095742,0.81375764314538
IC6/IC27,271,-0.956087710628245,1.40161455199332,-0.682133122311363,-0.0390931109892588,0.0755664707092384,0.495809843479892,0.819110694642641
IC7/IC9,299,3.49543996598184,1.51100181444888,2.31332612082716,0.131525743114191,0.0939018239285687,0.0215472600835604,0.348586399032063
IC7/IC11,301,2.40052909774071,1.49772552865052,1.60278305458519,0.0915399529437182,0.083550435776338,0.110292355018561,0.511371491602054
IC7/IC16,306,2.2396642409395,1.69822952981889,1.31882304577424,0.0754242322699389,0.0804182513358987,0.188480081676102,0.593761953144911
IC7/IC25,315,-2.17203753471372,1.5289103771149,-1.42064411833768,-0.0812103997749418,0.0814737440916309,0.156712729670395,0.567490036230673
IC7/IC26,316,-1.53729319604226,1.91640296441461,-0.802176381788184,-0.0459593546935422,0.0762481229117795,0.423241227398358,0.792203689562878
IC7/IC29,319,-1.44460940795131,1.43939135628968,-1.00362517923901,-0.0574667263168293,0.077636673274794,0.316565925861603,0.714550827095539
IC7/IC43,333,2.16434810452503,1.62275362312238,1.33375028327501,0.0762729905744042,0.0805682288888205,0.183544819250313,0.593761953144911
IC7/IC48,338,3.89689658462539,1.47501889799885,2.64192993724506,0.149814969609356,0.099851559518817,0.00878312224071987,0.233240690614672
IC7/IC50,340,0.00558677728487103,1.57618684986314,0.00354448921164145,0.000203290394220564,0.0737816887243145,0.997174844899382,0.997174844899382
IC9/IC43,422,-1.42078629198783,1.42547177326621,-0.996713031175881,-0.0570722362009408,0.0775839727545056,0.319903508364948,0.714550827095539
IC10/IC28,450,0.168603833081723,1.70358516644423,0.0989700053761551,0.00567622765864624,0.0738192835834538,0.921244356041688,0.997174844899382
IC10/IC31,453,1.21863202015545,1.64816108653167,0.739388904466788,0.0423687823665775,0.0758779631653176,0.460390443540389,0.81375764314538
IC11/IC31,495,0.81973716746619,1.58215405284737,0.518114633648301,0.0297028008078163,0.0748121797952794,0.604853608148,0.855801894871772
IC12/IC14,519,-0.814966844097181,1.73698054085358,-0.469185937855523,-0.0268999213095896,0.0746268994386852,0.639360907952929,0.881032858220423
IC12/IC25,530,-2.10695030405721,1.5421618828428,-1.36623160479968,-0.07811929365016,0.0809002351509301,0.173139714916216,0.58282242063346
IC12/IC30,535,-0.135297249613162,1.62231223814867,-0.0833977864628317,-0.00478313637996043,0.073808370064716,0.933604477815576,0.997174844899382
IC12/IC33,538,1.40254008703129,1.80355030447187,0.777655097034842,0.0445572817964713,0.0761000062710219,0.437535092143514,0.792203689562878
IC12/IC38,543,1.32647726872747,1.70024469854368,0.780168448614277,0.0447010019397206,0.0761149784141482,0.436057283065518,0.792203689562878
IC12/IC40,545,0.267003190262813,1.91419957851891,0.139485554828825,0.00799978923929478,0.0738564091268307,0.889182964705017,0.997174844899382
IC12/IC42,547,3.60042961207695,1.4336139463808,2.51143595607894,0.142569328499037,0.0974038569781877,0.0126793251819393,0.275487156225772
